class_id,support,precision,recall,f1
0,21,1.0,1.0,1.0
1,21,0.9545454545454546,1.0,0.9767441860465117
2,21,0.9545454545454546,1.0,0.9767441860465117
3,21,1.0,0.8095238095238095,0.8947368421052632
4,21,0.9545454545454546,1.0,0.9767441860465117
5,21,0.875,0.6666666666666666,0.7567567567567567
6,21,1.0,0.9523809523809523,0.975609756097561
7,21,1.0,1.0,1.0
8,21,0.84,1.0,0.9130434782608696
9,21,0.7142857142857143,0.7142857142857143,0.7142857142857143
10,21,1.0,1.0,1.0
11,21,1.0,1.0,1.0
12,21,0.875,1.0,0.9333333333333333
13,21,1.0,1.0,1.0
