true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,41,7,5,3,2,0,3,0,6,3,6,3,2,1,6,1,0,4,0,0,2,3
class_1,6,630,13,17,1,0,14,8,16,46,36,12,22,1,0,2,7,2,0,2,6,18
class_2,3,14,213,4,14,13,14,9,37,12,11,12,1,3,2,0,4,1,0,0,14,4
class_3,5,24,6,440,1,2,65,9,16,13,26,3,4,53,4,5,2,1,1,23,9,37
class_4,2,3,14,5,41,5,3,0,0,1,6,2,0,6,2,0,3,1,1,1,1,3
class_5,1,1,9,2,2,52,5,0,2,1,2,14,0,4,2,0,0,0,2,0,0,1
class_6,3,11,22,58,2,3,662,16,30,56,32,12,7,11,11,1,17,1,3,6,5,6
class_7,6,5,3,21,0,0,11,35,6,6,9,0,4,4,4,0,0,0,0,0,13,8
class_8,3,18,42,29,0,3,37,14,461,55,8,32,8,26,1,10,1,2,4,2,42,36
class_9,5,39,8,14,0,1,47,4,35,613,7,8,7,3,1,4,9,3,5,4,4,13
class_10,4,35,7,24,4,1,16,9,11,7,361,10,1,29,4,4,3,2,1,1,10,80
class_11,0,16,18,4,3,13,17,2,25,22,6,555,1,6,1,4,10,0,32,0,0,15
class_12,1,17,2,1,0,0,1,3,5,1,7,1,60,0,0,0,0,0,0,0,1,0
class_13,0,7,3,56,5,1,14,3,9,8,29,3,0,364,2,2,0,0,1,0,15,78
class_14,5,3,0,8,2,0,3,1,0,2,5,0,0,5,59,2,0,2,0,0,0,3
class_15,2,6,2,13,0,1,0,1,9,6,5,1,0,4,0,36,0,0,1,0,1,12
class_16,0,8,3,1,0,0,10,0,2,3,1,5,0,0,0,0,63,1,3,0,0,0
class_17,4,13,1,6,1,0,7,0,2,4,4,2,0,3,7,3,4,35,1,2,1,0
class_18,0,1,2,0,0,8,2,0,1,3,1,38,0,2,0,7,3,0,28,0,0,4
class_19,0,1,1,48,0,0,10,0,1,3,3,0,1,1,0,0,0,1,0,30,0,0
class_20,1,10,21,10,0,2,4,8,25,7,15,0,1,43,0,0,0,0,0,0,227,10
class_21,4,15,3,30,0,3,6,3,16,7,82,3,0,60,6,11,0,0,2,2,22,324
