class_id,support,precision,recall,f1
0,98,0.4270833333333333,0.41836734693877553,0.422680412371134
1,859,0.7126696832579186,0.7334109429569267,0.7228915662650603
2,385,0.535175879396985,0.5532467532467532,0.5440613026819923
3,749,0.5541561712846348,0.5874499332443258,0.5703175631885937
4,100,0.5256410256410257,0.41,0.46067415730337075
5,100,0.48148148148148145,0.52,0.5
6,975,0.6961093585699264,0.678974358974359,0.6874350986500519
7,135,0.28,0.25925925925925924,0.2692307692307692
8,834,0.6447552447552447,0.552757793764988,0.5952227243382828
9,834,0.6973833902161547,0.7350119904076738,0.715703444249854
10,624,0.5453172205438066,0.5785256410256411,0.5614307931570762
11,750,0.7751396648044693,0.74,0.7571623465211459
12,100,0.5042016806722689,0.6,0.547945205479452
13,600,0.5786963434022258,0.6066666666666667,0.5923515052888527
14,100,0.5267857142857143,0.59,0.5566037735849056
15,100,0.391304347826087,0.36,0.37499999999999994
16,100,0.5,0.63,0.5575221238938054
17,100,0.625,0.35,0.44871794871794873
18,100,0.32941176470588235,0.28,0.3027027027027028
19,100,0.410958904109589,0.3,0.34682080924855496
20,384,0.6085790884718498,0.5911458333333334,0.5997357992073976
21,599,0.4946564885496183,0.5409015025041736,0.5167464114832536
