true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,0,6,2,6,0,0,8,0,37,15,6,0,1,1,0,0,0,0,0,0,4,12
class_1,0,724,2,9,0,0,6,0,17,43,18,10,19,1,0,0,0,0,0,0,0,10
class_2,0,30,260,2,0,0,8,0,36,7,9,12,2,2,0,0,0,0,0,0,16,1
class_3,0,62,6,447,0,0,48,0,43,20,28,4,3,37,0,0,0,0,0,0,6,45
class_4,0,11,26,11,0,0,10,0,5,1,21,2,0,6,0,0,0,0,0,0,6,1
class_5,0,7,42,0,0,0,4,0,10,5,2,17,0,2,0,0,0,0,0,0,3,8
class_6,0,57,12,68,0,0,656,0,26,84,32,14,4,11,0,0,0,0,0,0,6,5
class_7,0,9,1,27,0,0,12,0,39,17,8,2,1,7,0,0,0,0,0,0,5,7
class_8,0,29,8,5,0,0,24,0,621,71,6,22,4,12,0,0,0,0,0,0,19,13
class_9,0,45,2,9,0,0,44,0,31,672,6,7,7,1,0,0,0,0,0,0,1,9
class_10,0,48,6,10,0,0,12,0,27,10,382,10,2,8,0,0,0,0,0,0,2,107
class_11,0,44,11,1,0,0,11,0,22,15,5,638,0,1,0,0,0,0,0,0,0,2
class_12,0,14,0,0,0,0,1,0,1,9,2,1,72,0,0,0,0,0,0,0,0,0
class_13,0,13,8,45,0,0,2,0,27,5,17,5,0,349,0,0,0,0,0,0,19,110
class_14,0,10,1,35,0,0,18,0,3,0,3,0,0,6,0,0,0,0,0,0,1,23
class_15,0,29,0,13,0,0,1,0,11,12,2,6,1,15,0,0,0,0,0,0,0,10
class_16,0,32,0,1,0,0,28,0,0,16,5,18,0,0,0,0,0,0,0,0,0,0
class_17,0,32,4,17,0,0,15,0,6,16,5,1,0,0,0,0,0,0,0,0,1,3
class_18,0,4,0,0,0,0,3,0,8,4,0,78,0,2,0,0,0,0,0,0,0,1
class_19,0,4,0,80,0,0,2,0,2,7,2,0,1,1,0,0,0,0,0,0,0,1
class_20,0,19,12,2,0,0,3,0,55,7,9,2,0,14,0,0,0,0,0,0,236,25
class_21,0,49,3,13,0,0,2,0,41,6,67,4,1,24,0,0,0,0,0,0,15,374
