true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,29,7,11,5,3,0,3,2,8,2,4,2,2,3,4,0,1,5,0,0,5,2
class_1,3,628,11,15,2,3,23,3,24,31,23,12,19,4,1,8,6,9,1,7,13,13
class_2,5,18,203,5,5,8,20,5,40,5,11,19,2,2,4,1,1,2,0,1,24,4
class_3,4,27,6,420,3,6,51,23,20,10,15,5,4,74,8,9,1,2,1,22,7,31
class_4,1,4,14,5,44,1,5,2,1,0,6,3,0,3,0,0,4,0,0,0,5,2
class_5,1,0,15,6,1,31,1,2,1,1,3,12,0,8,3,2,0,3,1,1,2,6
class_6,3,27,23,77,2,7,613,17,43,45,30,25,4,14,5,3,15,6,2,4,6,4
class_7,2,7,8,13,2,1,12,16,21,8,16,2,1,3,3,2,0,0,0,1,13,4
class_8,11,22,34,18,5,6,38,18,480,45,11,31,7,19,1,9,1,2,3,2,58,13
class_9,5,42,14,15,0,0,59,7,49,556,9,12,12,5,1,10,6,5,5,4,8,10
class_10,3,34,14,27,1,3,18,10,19,8,351,17,1,13,3,3,3,2,6,2,13,73
class_11,0,16,16,2,4,10,23,0,31,18,9,557,3,3,1,2,17,0,31,0,4,3
class_12,1,28,2,3,1,0,0,5,7,2,3,1,43,0,0,0,0,0,0,0,4,0
class_13,1,3,0,63,0,0,8,5,23,4,22,7,1,340,3,4,0,1,1,3,22,89
class_14,6,4,1,8,3,0,13,0,0,1,3,0,0,7,38,2,1,3,0,3,0,7
class_15,2,6,1,15,0,1,1,0,6,4,3,2,0,6,2,32,0,3,3,4,0,9
class_16,0,15,0,2,2,0,13,0,1,7,3,7,1,0,0,0,45,0,3,0,1,0
class_17,0,14,3,3,2,1,12,1,1,7,1,4,0,0,6,4,1,39,0,1,0,0
class_18,0,1,2,6,0,2,1,0,1,7,7,27,0,2,0,3,2,0,34,1,1,3
class_19,1,4,0,52,0,0,4,1,1,3,0,0,0,3,1,0,1,3,0,25,0,1
class_20,3,9,25,9,5,0,6,4,34,11,7,2,1,28,0,1,0,1,0,1,225,12
class_21,3,11,4,22,2,4,4,8,22,6,72,6,0,82,7,8,0,0,2,1,31,304
