true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,33,0,8,2,2,2,6,2,8,1,8,2,0,1,4,1,1,2,0,1,9,5
class_1,1,617,12,39,0,3,14,5,21,25,35,14,12,4,3,8,5,9,0,1,8,23
class_2,18,22,195,8,5,5,20,1,42,12,8,17,4,2,3,0,0,5,0,0,13,5
class_3,8,30,3,389,2,3,65,10,34,9,23,4,2,64,15,13,0,2,0,31,12,30
class_4,3,2,4,2,52,4,8,0,2,0,6,2,0,1,3,1,1,2,0,0,3,4
class_5,0,2,11,2,0,51,2,0,6,0,4,9,0,3,3,0,0,1,3,0,1,2
class_6,5,19,14,67,3,2,669,19,44,46,29,13,2,7,11,3,8,5,0,3,3,3
class_7,2,2,3,16,4,0,17,22,25,4,9,1,2,6,1,0,0,0,0,0,14,7
class_8,7,15,37,15,1,1,39,11,550,33,5,26,8,26,0,4,0,1,3,0,42,10
class_9,3,36,7,9,0,4,62,4,36,575,13,16,5,4,2,9,10,9,6,2,17,5
class_10,6,23,6,22,1,5,13,15,20,5,365,7,4,24,4,3,3,2,3,1,12,80
class_11,2,14,21,4,4,14,31,1,34,13,15,534,1,3,0,5,12,2,36,0,2,2
class_12,0,22,2,4,0,0,1,4,15,4,3,0,42,0,0,0,0,0,0,1,2,0
class_13,2,3,1,52,1,3,10,5,25,5,24,2,0,350,2,7,0,1,6,4,22,75
class_14,6,1,2,10,2,0,10,0,1,0,5,0,0,3,46,0,0,4,0,1,1,8
class_15,1,8,1,6,0,1,0,0,10,4,4,5,0,8,4,35,0,1,2,3,1,6
class_16,0,17,1,0,0,0,17,0,1,11,4,4,0,0,0,0,40,3,2,0,0,0
class_17,3,5,3,5,0,0,14,0,1,0,5,4,0,0,6,4,1,43,1,2,1,2
class_18,0,0,0,1,0,5,1,0,5,7,2,28,0,3,0,4,2,2,39,0,1,0
class_19,1,3,0,55,0,0,6,1,1,1,3,0,0,0,1,5,0,2,1,19,0,1
class_20,7,4,13,9,2,1,2,9,53,11,9,2,2,20,1,0,0,1,0,0,222,16
class_21,4,12,1,20,7,7,1,9,23,4,71,8,1,76,5,12,0,0,6,1,28,303
