class_id,support,precision,recall,f1
0,21,1.0,1.0,1.0
1,21,1.0,1.0,1.0
2,21,0.9130434782608695,1.0,0.9545454545454545
3,21,0.9444444444444444,0.8095238095238095,0.8717948717948718
4,21,1.0,1.0,1.0
5,21,0.9523809523809523,0.9523809523809523,0.9523809523809523
6,21,1.0,1.0,1.0
7,21,1.0,1.0,1.0
8,21,0.9545454545454546,1.0,0.9767441860465117
9,21,1.0,0.9523809523809523,0.975609756097561
10,21,1.0,1.0,1.0
11,21,1.0,1.0,1.0
12,21,0.9090909090909091,0.9523809523809523,0.9302325581395349
13,21,1.0,1.0,1.0
