true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,50,5,3,3,2,1,6,3,8,0,5,2,0,1,2,1,0,1,0,0,2,3
class_1,1,689,2,17,1,0,9,4,18,18,29,19,22,4,0,5,5,2,2,3,1,8
class_2,1,27,232,3,9,8,4,3,18,2,22,30,1,11,1,0,0,1,0,0,9,3
class_3,3,27,4,422,2,0,36,21,23,15,42,6,17,69,1,3,2,3,0,21,3,29
class_4,1,3,2,3,66,0,1,0,1,1,6,4,0,4,0,0,3,0,0,0,1,4
class_5,0,6,11,0,4,46,3,0,3,1,5,8,1,3,0,0,0,0,0,1,4,4
class_6,4,27,12,56,6,2,682,22,32,30,33,27,4,7,2,0,3,2,2,1,6,15
class_7,1,10,2,11,1,0,8,56,8,2,14,3,3,7,0,0,0,0,0,0,3,6
class_8,5,39,10,17,0,3,29,12,553,31,14,35,13,30,0,14,0,1,7,1,12,8
class_9,2,36,3,11,0,1,41,3,24,637,7,17,16,7,1,7,1,0,7,2,2,9
class_10,3,34,6,11,2,0,7,7,5,7,431,5,7,21,2,3,2,3,0,1,13,54
class_11,1,22,13,2,2,5,10,1,14,3,11,613,4,6,0,2,6,2,23,1,1,8
class_12,0,12,1,1,0,0,4,0,3,2,1,2,74,0,0,0,0,0,0,0,0,0
class_13,0,9,5,39,3,0,8,4,16,7,34,7,3,396,2,2,0,1,1,2,10,51
class_14,3,2,1,7,3,0,9,1,0,3,5,0,0,4,47,1,0,2,0,0,2,10
class_15,0,14,0,9,0,0,1,1,5,4,2,4,1,6,0,47,0,0,2,0,0,4
class_16,0,5,0,0,0,0,3,0,1,4,7,9,1,0,0,0,70,0,0,0,0,0
class_17,6,5,5,3,1,0,7,0,4,1,8,7,0,2,3,2,0,45,0,1,0,0
class_18,0,2,0,0,1,2,1,0,1,2,4,35,0,5,0,4,1,0,38,0,0,4
class_19,0,4,0,44,0,0,4,1,0,0,2,0,0,2,0,1,0,0,0,38,0,4
class_20,3,13,16,5,1,0,2,5,16,1,24,5,2,34,0,1,0,0,0,0,245,11
class_21,0,19,4,12,1,0,2,7,14,7,106,13,3,70,3,3,1,0,1,0,7,326
