true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,49,3,1,1,1,0,15,2,13,1,3,1,1,0,2,1,0,1,0,0,1,2
class_1,3,660,21,20,0,2,35,7,18,29,16,5,2,5,1,10,1,0,2,2,2,18
class_2,2,8,233,9,1,6,43,5,28,9,9,10,1,3,3,0,0,0,2,0,6,7
class_3,3,17,3,454,0,1,87,17,35,19,17,1,2,32,2,8,0,1,0,18,3,29
class_4,1,3,5,8,44,2,11,0,2,0,4,0,0,3,3,0,0,1,0,0,2,11
class_5,0,2,8,3,2,51,14,0,3,2,1,4,0,1,0,0,0,1,4,0,0,4
class_6,2,11,12,55,0,0,794,15,14,28,11,5,1,3,1,0,0,1,2,5,2,13
class_7,2,3,3,14,0,0,19,62,11,3,5,0,0,3,0,0,0,1,0,0,5,4
class_8,4,16,21,24,3,4,74,10,578,45,10,7,0,10,0,2,0,1,1,0,5,19
class_9,0,10,7,5,0,0,100,1,19,668,5,2,0,4,1,3,2,0,2,0,0,5
class_10,4,25,4,30,2,1,40,10,9,7,367,3,1,19,0,5,2,0,5,1,6,83
class_11,0,9,13,6,0,15,62,1,34,19,5,520,0,5,0,5,5,1,40,0,1,9
class_12,2,30,1,5,0,0,6,2,3,2,1,0,45,0,0,1,0,0,0,1,0,1
class_13,1,6,1,54,1,0,9,2,19,10,22,0,0,382,0,7,0,0,6,0,6,74
class_14,4,0,0,7,1,1,16,0,0,0,2,0,0,4,56,1,0,2,0,2,1,3
class_15,0,5,0,5,0,1,4,1,10,6,1,2,0,2,0,52,0,0,2,1,1,7
class_16,0,7,1,0,0,0,18,0,1,3,1,1,0,0,0,0,62,0,6,0,0,0
class_17,3,6,1,2,0,0,17,0,2,4,2,0,0,1,5,2,0,48,0,3,0,4
class_18,0,2,2,1,0,3,5,0,3,4,0,11,0,0,0,1,1,0,67,0,0,0
class_19,0,1,0,37,0,0,8,1,1,4,0,0,0,2,2,0,0,1,0,41,1,1
class_20,4,4,24,14,2,1,11,9,34,7,6,2,0,31,2,1,0,0,3,1,212,16
class_21,2,9,5,34,2,2,16,5,16,7,41,5,0,41,2,2,1,0,4,0,6,399
