true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,2,2,17,7,0,0,6,1,21,5,12,2,0,2,2,1,0,1,0,0,13,4
class_1,1,512,28,35,2,11,67,0,40,23,53,39,9,6,2,9,1,2,1,2,4,12
class_2,1,35,165,8,5,6,17,2,63,4,21,22,8,6,1,0,0,1,0,0,15,5
class_3,2,59,16,267,5,5,84,1,30,21,88,16,0,47,14,5,0,0,0,24,13,52
class_4,0,6,3,4,14,4,4,0,8,0,31,14,2,2,0,0,0,0,0,0,1,7
class_5,0,9,20,1,3,23,5,0,11,0,7,11,1,1,2,0,0,0,0,1,2,3
class_6,0,66,34,67,6,3,579,5,21,30,67,45,4,9,3,1,4,0,0,7,9,15
class_7,0,7,10,15,4,0,16,4,27,3,25,5,3,6,0,0,0,0,0,1,4,5
class_8,5,35,47,12,6,0,34,1,442,41,33,65,10,27,0,2,0,1,1,2,61,9
class_9,1,75,18,26,0,1,147,1,63,412,15,28,6,11,0,5,1,1,0,1,13,9
class_10,1,32,10,20,7,2,24,1,27,5,374,31,4,16,0,0,3,0,0,1,9,57
class_11,0,37,13,2,8,10,29,0,33,9,19,578,1,3,0,2,4,0,1,0,0,1
class_12,0,16,8,1,1,0,12,0,25,5,8,3,16,2,0,0,1,0,0,0,0,2
class_13,2,11,7,42,1,1,7,0,38,5,69,13,0,202,1,5,1,0,0,5,32,158
class_14,0,8,4,30,0,1,4,1,0,0,14,0,0,7,5,0,0,0,0,3,2,21
class_15,0,19,1,7,1,0,2,0,14,9,11,4,1,7,3,9,0,1,0,4,3,4
class_16,0,17,1,0,0,0,18,0,2,1,7,48,2,0,0,0,3,0,1,0,0,0
class_17,1,37,5,9,1,0,6,0,5,9,6,7,0,0,1,5,0,2,1,3,0,2
class_18,0,7,0,0,0,0,4,0,4,1,3,76,0,1,0,0,1,0,0,0,1,2
class_19,0,13,1,45,0,0,7,1,2,2,8,1,0,7,2,1,0,0,0,7,1,2
class_20,1,11,18,4,2,1,4,2,127,3,26,8,1,28,1,2,0,0,0,0,115,30
class_21,4,15,5,35,3,4,4,0,47,3,148,15,1,97,1,1,0,0,0,1,36,179
