class_id,support,precision,recall,f1
0,98,0.5753424657534246,0.42857142857142855,0.4912280701754386
1,859,0.6686991869918699,0.7660069848661234,0.7140531741725447
2,385,0.6066066066066066,0.5246753246753246,0.5626740947075209
3,749,0.5353075170842825,0.6275033377837116,0.5777504609711125
4,100,0.7702702702702703,0.57,0.6551724137931034
5,100,0.5113636363636364,0.45,0.4787234042553191
6,975,0.7825,0.642051282051282,0.7053521126760564
7,135,0.3125,0.2962962962962963,0.3041825095057034
8,834,0.6190476190476191,0.6546762589928058,0.6363636363636365
9,834,0.7489316239316239,0.8405275779376499,0.792090395480226
10,624,0.5933456561922366,0.5144230769230769,0.5510729613733905
11,750,0.8167155425219942,0.7426666666666667,0.7779329608938548
12,100,0.575,0.69,0.6272727272727272
13,600,0.594885598923284,0.7366666666666667,0.6582278481012658
14,100,0.5742574257425742,0.58,0.5771144278606964
15,100,0.49523809523809526,0.52,0.5073170731707317
16,100,0.875,0.49,0.6282051282051282
17,100,0.3893129770992366,0.51,0.44155844155844154
18,100,0.5806451612903226,0.18,0.27480916030534347
19,100,0.4805194805194805,0.37,0.4180790960451977
20,384,0.6365795724465558,0.6979166666666666,0.6658385093167701
21,599,0.5811808118081181,0.5258764607679466,0.5521472392638037
