true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,76,3,0,3,0,0,2,1,4,1,0,0,0,0,1,0,0,1,0,0,1,5
class_1,9,629,8,32,1,4,11,1,20,73,16,9,7,2,0,8,4,5,1,4,0,15
class_2,5,2,291,3,7,11,11,1,22,5,5,3,0,2,2,0,0,0,0,1,6,8
class_3,9,12,7,457,0,0,57,3,23,20,26,5,1,35,3,1,1,3,0,37,5,44
class_4,1,0,7,1,71,0,4,0,1,0,1,2,0,5,3,0,1,1,0,0,0,2
class_5,2,0,5,1,0,74,4,0,4,1,0,1,0,1,1,0,0,0,1,0,0,5
class_6,11,10,21,47,3,5,720,8,34,44,17,16,0,7,2,2,3,10,0,6,2,7
class_7,8,2,1,12,0,0,17,42,18,10,8,2,1,2,0,2,1,0,0,0,4,5
class_8,18,7,16,11,3,4,34,4,592,58,7,13,2,17,0,11,1,2,1,0,10,23
class_9,3,6,0,6,0,2,14,0,15,761,3,2,3,0,0,12,0,1,0,0,0,6
class_10,15,13,8,22,0,1,14,3,6,17,398,6,0,12,1,2,5,3,5,1,6,86
class_11,2,15,25,6,0,11,18,1,33,37,7,557,0,6,0,5,3,1,16,0,1,6
class_12,1,16,0,0,0,0,0,2,2,22,3,0,49,0,0,4,0,0,0,1,0,0
class_13,4,2,10,38,4,3,9,0,20,3,13,5,0,380,3,1,0,0,2,0,15,88
class_14,10,2,0,7,0,0,9,0,0,1,5,0,0,2,52,0,0,1,0,2,0,9
class_15,4,4,0,4,0,0,0,1,8,14,1,0,0,1,0,61,0,0,2,0,0,0
class_16,0,6,1,0,1,2,5,0,0,5,3,6,0,0,0,0,70,0,0,1,0,0
class_17,12,3,1,2,0,0,7,0,1,4,5,0,0,0,2,2,0,58,0,3,0,0
class_18,0,1,0,0,0,7,2,0,4,7,4,21,0,0,0,4,0,0,48,0,0,2
class_19,0,2,1,28,0,0,3,0,3,3,0,0,0,1,0,2,0,0,0,55,0,2
class_20,0,3,22,10,7,1,7,4,32,1,8,2,0,34,0,0,0,1,0,0,230,22
class_21,11,8,2,21,0,4,6,0,19,9,75,5,0,19,1,4,0,0,1,0,2,412
