true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13
class_0,17,0,1,0,0,0,0,0,0,0,0,0,2,1
class_1,1,10,0,2,0,0,2,1,0,0,0,1,1,3
class_2,1,0,17,1,0,0,0,0,0,0,0,0,2,0
class_3,0,1,0,10,0,0,0,1,0,0,0,0,9,0
class_4,0,0,0,0,21,0,0,0,0,0,0,0,0,0
class_5,0,0,0,0,1,6,0,0,0,14,0,0,0,0
class_6,0,0,0,0,0,0,19,0,0,0,1,1,0,0
class_7,0,0,0,0,0,0,1,20,0,0,0,0,0,0
class_8,0,0,1,0,0,1,0,0,19,0,0,0,0,0
class_9,0,0,0,0,0,1,0,0,0,20,0,0,0,0
class_10,1,0,0,0,0,0,0,0,0,0,18,0,0,2
class_11,1,0,0,1,0,0,3,0,0,0,0,16,0,0
class_12,0,0,3,1,0,0,0,0,0,0,0,0,17,0
class_13,3,3,0,0,0,0,0,0,0,0,2,0,1,12
