true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,69,5,1,4,0,0,1,2,1,0,1,0,0,1,4,0,0,4,0,0,1,4
class_1,3,652,4,31,2,2,28,3,16,12,36,17,9,7,2,5,3,7,0,1,1,18
class_2,1,4,262,6,8,2,25,4,11,0,10,15,0,9,0,0,0,0,0,0,22,6
class_3,6,22,8,461,1,1,69,10,17,5,33,12,2,44,5,3,0,1,2,7,4,36
class_4,1,0,6,3,67,0,3,0,1,0,2,1,0,8,0,0,0,0,0,0,6,2
class_5,0,4,6,3,0,49,3,0,6,0,5,12,0,3,3,0,0,0,0,0,0,6
class_6,4,24,25,69,5,2,709,26,28,15,17,14,0,4,5,1,3,8,0,2,5,9
class_7,5,15,1,19,0,0,12,46,10,2,10,3,0,3,2,0,0,0,0,0,5,2
class_8,19,36,36,23,3,8,62,10,476,26,14,24,2,36,0,8,1,5,3,0,27,15
class_9,7,49,2,21,0,1,73,2,12,625,4,8,10,1,0,2,1,2,2,2,2,8
class_10,3,22,4,34,3,2,23,7,11,0,386,9,1,17,7,0,0,7,1,0,3,84
class_11,2,21,10,7,1,4,34,1,17,7,7,599,0,8,0,2,4,2,17,0,1,6
class_12,1,15,0,1,0,0,1,1,0,6,1,1,73,0,0,0,0,0,0,0,0,0
class_13,1,3,14,43,2,2,12,1,11,1,17,10,0,422,1,0,1,1,1,0,11,46
class_14,6,3,0,5,0,1,7,1,1,0,3,0,0,5,55,0,0,3,0,0,1,9
class_15,3,7,0,7,0,0,1,0,7,9,2,4,0,2,0,52,0,0,1,0,0,5
class_16,0,5,1,3,0,0,11,0,1,1,1,7,0,0,0,0,69,0,0,0,0,1
class_17,9,11,0,4,0,1,5,0,1,1,1,4,0,0,3,0,0,58,0,0,1,1
class_18,0,3,1,0,0,2,6,0,2,4,2,38,0,2,0,0,0,0,37,0,0,3
class_19,0,3,0,60,0,0,4,0,0,3,1,0,0,0,0,1,0,1,0,27,0,0
class_20,1,8,44,5,7,0,4,2,16,2,5,0,0,44,0,0,0,0,0,0,244,2
class_21,4,15,3,28,0,1,4,4,13,3,89,11,0,46,4,4,0,2,1,0,7,360
